x,y,id
0,0,01
2.827,2.969,02
3.073,5.622,03
0.351,8.207,04
-3.256,8.832,05
-4.866,5.193,06
-2.643,2.882,07
-5.268,-0.233,08
-3.887,-3.474,09
1.536,-3.039,10
0,0,01
