x,y,id
0,0,01
0.667,2.453,02
0.937,5.7,03
-2.156,5.429,04
-4.792,5.598,05
-5.262,7.694,06
-2.877,9.791,07
-2.133,11.889,08
-5.519,12.599,09
-7.671,13.658,10
-8.617,15.872,11
-11.385,15.98,12
-14.774,15.003,13
-16.208,12.809,14
-17.287,10.899,15
-19.347,9.49,16
-16.24,6.91,17
-12.67,7.186,18
-9.781,5.434,19
-8.128,2.855,20
-5.636,1.19,21
-7.607,-1.044,22
-9.239,-4.033,23
-5.973,-5.334,24
-2.726,-6.418,25
-1.11,-4.177,26
0.277,-1.189,27
0,0,28
0,0,01
